Iteration,Total Steps Before Removal,Total Steps After Removal,Number of Steps Removed,Ratio of Steps Removed
0,78,8,70,0.8974358974358975
1,77,7,70,0.9090909090909091
2,232,162,70,0.3017241379310345
3,218,148,70,0.3211009174311927
4,78,8,70,0.8974358974358975
5,77,7,70,0.9090909090909091
6,74,4,70,0.9459459459459459
7,68,0,68,1.0
8,62,0,62,1.0
9,66,0,66,1.0
10,68,0,68,1.0
11,63,0,63,1.0
12,68,0,68,1.0
13,71,1,70,0.9859154929577465
14,66,0,66,1.0
15,138,68,70,0.5072463768115942
16,70,0,70,1.0
17,133,63,70,0.5263157894736842
18,77,7,70,0.9090909090909091
19,89,19,70,0.7865168539325843
20,59,0,59,1.0
21,217,147,70,0.3225806451612903
22,52,0,52,1.0
23,102,32,70,0.6862745098039216
24,49,0,49,1.0
25,71,1,70,0.9859154929577465
26,151,81,70,0.46357615894039733
27,80,10,70,0.875
28,81,11,70,0.8641975308641975
29,50,0,50,1.0
30,103,33,70,0.6796116504854369
31,87,17,70,0.8045977011494253
32,124,54,70,0.5645161290322581
33,83,13,70,0.8433734939759037
34,64,0,64,1.0
35,69,0,69,1.0
36,70,0,70,1.0
37,66,0,66,1.0
38,79,9,70,0.8860759493670886
39,61,0,61,1.0
40,98,28,70,0.7142857142857143
41,53,0,53,1.0
42,66,0,66,1.0
43,70,0,70,1.0
44,77,7,70,0.9090909090909091
45,68,0,68,1.0
46,65,0,65,1.0
47,129,59,70,0.5426356589147286
48,156,86,70,0.44871794871794873
49,58,0,58,1.0
50,61,0,61,1.0
51,91,21,70,0.7692307692307693
52,67,0,67,1.0
53,146,76,70,0.4794520547945205
54,64,0,64,1.0
55,103,33,70,0.6796116504854369
56,57,0,57,1.0
57,97,27,70,0.7216494845360825
58,62,0,62,1.0
59,50,0,50,1.0
60,142,72,70,0.49295774647887325
61,88,18,70,0.7954545454545454
62,69,0,69,1.0
63,143,73,70,0.48951048951048953
64,116,46,70,0.603448275862069
65,69,0,69,1.0
66,65,0,65,1.0
67,49,0,49,1.0
68,63,0,63,1.0
69,63,0,63,1.0
70,56,0,56,1.0
71,61,0,61,1.0
72,65,0,65,1.0
73,153,83,70,0.45751633986928103
74,61,0,61,1.0
75,67,0,67,1.0
76,71,1,70,0.9859154929577465
77,88,18,70,0.7954545454545454
78,67,0,67,1.0
79,46,0,46,1.0
80,81,11,70,0.8641975308641975
81,69,0,69,1.0
82,87,17,70,0.8045977011494253
83,68,0,68,1.0
84,64,0,64,1.0
85,65,0,65,1.0
86,53,0,53,1.0
87,67,0,67,1.0
88,40,0,40,1.0
89,69,0,69,1.0
90,69,0,69,1.0
91,130,60,70,0.5384615384615384
92,57,0,57,1.0
93,76,6,70,0.9210526315789473
94,65,0,65,1.0
95,65,0,65,1.0
96,66,0,66,1.0
97,95,25,70,0.7368421052631579
98,70,0,70,1.0
99,79,9,70,0.8860759493670886
100,73,3,70,0.958904109589041
101,72,2,70,0.9722222222222222
102,79,9,70,0.8860759493670886
103,170,100,70,0.4117647058823529
104,66,0,66,1.0
105,57,0,57,1.0
106,53,0,53,1.0
107,67,0,67,1.0
108,72,2,70,0.9722222222222222
109,83,13,70,0.8433734939759037
110,89,19,70,0.7865168539325843
111,102,32,70,0.6862745098039216
112,76,6,70,0.9210526315789473
113,72,2,70,0.9722222222222222
114,122,52,70,0.5737704918032787
115,142,72,70,0.49295774647887325
116,86,16,70,0.813953488372093
117,71,1,70,0.9859154929577465
118,145,75,70,0.4827586206896552
119,102,32,70,0.6862745098039216
120,45,0,45,1.0
121,82,12,70,0.8536585365853658
122,81,11,70,0.8641975308641975
123,130,60,70,0.5384615384615384
124,66,0,66,1.0
125,59,0,59,1.0
126,174,104,70,0.40229885057471265
127,144,74,70,0.4861111111111111
128,68,0,68,1.0
129,69,0,69,1.0
130,49,0,49,1.0
131,91,21,70,0.7692307692307693
132,89,19,70,0.7865168539325843
133,69,0,69,1.0
134,69,0,69,1.0
135,70,0,70,1.0
136,248,178,70,0.28225806451612906
137,63,0,63,1.0
138,64,0,64,1.0
139,76,6,70,0.9210526315789473
140,67,0,67,1.0
141,72,2,70,0.9722222222222222
142,131,61,70,0.5343511450381679
143,82,12,70,0.8536585365853658
144,63,0,63,1.0
145,38,0,38,1.0
146,66,0,66,1.0
147,60,0,60,1.0
148,90,20,70,0.7777777777777778
149,68,0,68,1.0
150,64,0,64,1.0
151,126,56,70,0.5555555555555556
152,70,0,70,1.0
153,52,0,52,1.0
154,58,0,58,1.0
155,54,0,54,1.0
156,60,0,60,1.0
157,61,0,61,1.0
158,103,33,70,0.6796116504854369
159,93,23,70,0.7526881720430108
160,150,80,70,0.4666666666666667
161,71,1,70,0.9859154929577465
162,68,0,68,1.0
163,112,42,70,0.625
164,67,0,67,1.0
165,97,27,70,0.7216494845360825
166,41,0,41,1.0
167,97,27,70,0.7216494845360825
168,75,5,70,0.9333333333333333
169,69,0,69,1.0
170,71,1,70,0.9859154929577465
171,70,0,70,1.0
172,152,82,70,0.4605263157894737
173,72,2,70,0.9722222222222222
174,72,2,70,0.9722222222222222
175,53,0,53,1.0
176,71,1,70,0.9859154929577465
177,79,9,70,0.8860759493670886
178,106,36,70,0.660377358490566
179,101,31,70,0.693069306930693
180,153,83,70,0.45751633986928103
181,76,6,70,0.9210526315789473
182,89,19,70,0.7865168539325843
183,104,34,70,0.6730769230769231
184,143,73,70,0.48951048951048953
185,126,56,70,0.5555555555555556
186,73,3,70,0.958904109589041
187,70,0,70,1.0
188,95,25,70,0.7368421052631579
189,82,12,70,0.8536585365853658
190,83,13,70,0.8433734939759037
191,71,1,70,0.9859154929577465
192,164,94,70,0.4268292682926829
193,96,26,70,0.7291666666666666
194,90,20,70,0.7777777777777778
195,67,0,67,1.0
196,77,7,70,0.9090909090909091
197,66,0,66,1.0
198,53,0,53,1.0
199,77,7,70,0.9090909090909091
200,69,0,69,1.0
201,86,16,70,0.813953488372093
202,160,90,70,0.4375
203,57,0,57,1.0
204,68,0,68,1.0
205,75,5,70,0.9333333333333333
206,65,0,65,1.0
207,58,0,58,1.0
208,129,59,70,0.5426356589147286
209,122,52,70,0.5737704918032787
210,65,0,65,1.0
211,80,10,70,0.875
212,55,0,55,1.0
213,41,0,41,1.0
214,47,0,47,1.0
215,78,8,70,0.8974358974358975
216,48,0,48,1.0
217,137,67,70,0.5109489051094891
218,79,9,70,0.8860759493670886
219,146,76,70,0.4794520547945205
220,105,35,70,0.6666666666666666
221,60,0,60,1.0
222,99,29,70,0.7070707070707071
223,49,0,49,1.0
224,115,45,70,0.6086956521739131
225,54,0,54,1.0
226,63,0,63,1.0
227,66,0,66,1.0
228,57,0,57,1.0
229,84,14,70,0.8333333333333334
230,182,112,70,0.38461538461538464
231,164,94,70,0.4268292682926829
232,69,0,69,1.0
233,89,19,70,0.7865168539325843
234,72,2,70,0.9722222222222222
235,69,0,69,1.0
236,135,65,70,0.5185185185185185
237,66,0,66,1.0
238,66,0,66,1.0
239,58,0,58,1.0
240,72,2,70,0.9722222222222222
241,70,0,70,1.0
242,63,0,63,1.0
243,60,0,60,1.0
244,63,0,63,1.0
245,106,36,70,0.660377358490566
246,70,0,70,1.0
247,65,0,65,1.0
248,66,0,66,1.0
249,45,0,45,1.0
250,76,6,70,0.9210526315789473
251,74,4,70,0.9459459459459459
252,71,1,70,0.9859154929577465
253,72,2,70,0.9722222222222222
254,68,0,68,1.0
255,56,0,56,1.0
256,89,19,70,0.7865168539325843
257,61,0,61,1.0
258,117,47,70,0.5982905982905983
259,71,1,70,0.9859154929577465
260,112,42,70,0.625
261,85,15,70,0.8235294117647058
262,76,6,70,0.9210526315789473
263,87,17,70,0.8045977011494253
264,61,0,61,1.0
265,67,0,67,1.0
266,76,6,70,0.9210526315789473
267,95,25,70,0.7368421052631579
268,71,1,70,0.9859154929577465
269,77,7,70,0.9090909090909091
270,109,39,70,0.6422018348623854
271,71,1,70,0.9859154929577465
272,104,34,70,0.6730769230769231
273,49,0,49,1.0
274,69,0,69,1.0
275,86,16,70,0.813953488372093
276,66,0,66,1.0
277,70,0,70,1.0
278,71,1,70,0.9859154929577465
279,76,6,70,0.9210526315789473
280,84,14,70,0.8333333333333334
281,70,0,70,1.0
282,48,0,48,1.0
283,38,0,38,1.0
284,64,0,64,1.0
285,36,0,36,1.0
286,102,32,70,0.6862745098039216
287,127,57,70,0.5511811023622047
288,66,0,66,1.0
289,72,2,70,0.9722222222222222
290,82,12,70,0.8536585365853658
291,74,4,70,0.9459459459459459
292,56,0,56,1.0
293,50,0,50,1.0
294,77,7,70,0.9090909090909091
295,75,5,70,0.9333333333333333
296,64,0,64,1.0
297,65,0,65,1.0
298,39,0,39,1.0
299,64,0,64,1.0
300,72,2,70,0.9722222222222222
301,61,0,61,1.0
302,60,0,60,1.0
303,68,0,68,1.0
304,109,39,70,0.6422018348623854
305,100,30,70,0.7
306,78,8,70,0.8974358974358975
307,77,7,70,0.9090909090909091
308,102,32,70,0.6862745098039216
309,51,0,51,1.0
310,95,25,70,0.7368421052631579
311,116,46,70,0.603448275862069
312,70,0,70,1.0
313,69,0,69,1.0
314,57,0,57,1.0
315,97,27,70,0.7216494845360825
316,72,2,70,0.9722222222222222
317,59,0,59,1.0
318,122,52,70,0.5737704918032787
319,76,6,70,0.9210526315789473
